メシウマスポット

タイトル,メモ,URL,タグ,コメント
赤い部屋,業界人が結構いるらしい,https://www.google.com/maps/place/%E8%B5%A4%E3%81%84%E9%83%A8%E5%B1%8B/data=!4m2!3m1!1s0x60188b6436b93573:0x22532d02bbcb9225,,
無国籍料理 永發,おばちゃんがおもろい,https://www.google.com/maps/place/%E7%84%A1%E5%9B%BD%E7%B1%8D%E6%96%99%E7%90%86+%E6%B0%B8%E7%99%BC/data=!4m2!3m1!1s0x6018f3f190fc46d3:0xc766ca4e625ce0cb,,
地酒庵 さとう,竹内さんおすすめ,https://www.google.com/maps/place/%E5%9C%B0%E9%85%92%E5%BA%B5+%E3%81%95%E3%81%A8%E3%81%86/data=!4m2!3m1!1s0x5f9b9f1e43f0fa5f:0xa14c4edc0253cb66,,
新改商店,竹内さんが推してる居酒屋,https://www.google.com/maps/place/%E6%96%B0%E6%94%B9%E5%95%86%E5%BA%97/data=!4m2!3m1!1s0x5f9b4dfa2db08659:0x1cb592d9ae564740,,
芋蔵 銀座店,焼酎が美味いっ,https://www.google.com/maps/place/%E8%8A%8B%E8%94%B5+%E9%8A%80%E5%BA%A7%E5%BA%97/data=!4m2!3m1!1s0x60188be9308f96fd:0x5ba6511a7d1cca1,,
タージブリヤニハウス (ハラールレストラン),ちゃんと大釜で作られてるビリヤニ。,https://www.google.com/maps/place/%E3%82%BF%E3%83%BC%E3%82%B8%E3%83%96%E3%83%AA%E3%83%A4%E3%83%8B%E3%83%8F%E3%82%A6%E3%82%B9+(%E3%83%8F%E3%83%A9%E3%83%BC%E3%83%AB%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3)/data=!4m2!3m1!1s0x6018ffd758369627:0x385e36c7b3744f6f,,
インドカリーダイニング コバラカフェ 昭島モリタウン店,,https://www.google.com/maps/place/%E3%82%A4%E3%83%B3%E3%83%89%E3%82%AB%E3%83%AA%E3%83%BC%E3%83%80%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0+%E3%82%B3%E3%83%90%E3%83%A9%E3%82%AB%E3%83%95%E3%82%A7+%E6%98%AD%E5%B3%B6%E3%83%A2%E3%83%AA%E3%82%BF%E3%82%A6%E3%83%B3%E5%BA%97/data=!4m2!3m1!1s0x60191fd70b677607:0x504c2cc471fd77ad,,
天婦羅 いもや,天ぷらと酒！,https://www.google.com/maps/place/%E5%A4%A9%E5%A9%A6%E7%BE%85+%E3%81%84%E3%82%82%E3%82%84/data=!4m2!3m1!1s0x60188e4676ad6bdd:0x1d59a61f66fb3582,,
美食 和,1人飲みができる,https://www.google.com/maps/place/%E7%BE%8E%E9%A3%9F+%E5%92%8C/data=!4m2!3m1!1s0x60188f698fb18a99:0x4ad3a247a89f7972,,
いわし料理・宮古島料理一初,ランチが安いが、夜もうまい。日本酒ものめる,https://www.google.com/maps/place/%E3%81%84%E3%82%8F%E3%81%97%E6%96%99%E7%90%86%E3%83%BB%E5%AE%AE%E5%8F%A4%E5%B3%B6%E6%96%99%E7%90%86%E4%B8%80%E5%88%9D/data=!4m2!3m1!1s0x60188e461f7fafd3:0xfb1db0b1acf252fb,,
ファームレストラン ウエムラ·ベース,,https://www.google.com/maps/place/%E3%83%95%E3%82%A1%E3%83%BC%E3%83%A0%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3+%E3%82%A6%E3%82%A8%E3%83%A0%E3%83%A9%C2%B7%E3%83%99%E3%83%BC%E3%82%B9/data=!4m2!3m1!1s0x5f756967eda3ffff:0x592f5f14fc1ec45d,,
自然満喫倶楽部,,https://www.google.com/maps/place/%E8%87%AA%E7%84%B6%E6%BA%80%E5%96%AB%E5%80%B6%E6%A5%BD%E9%83%A8/data=!4m2!3m1!1s0x5f752a7177e29715:0xa1413a9d82bbe20e,,
手打ちそばさくら 平岡公園本店,,https://www.google.com/maps/place/%E6%89%8B%E6%89%93%E3%81%A1%E3%81%9D%E3%81%B0%E3%81%95%E3%81%8F%E3%82%89+%E5%B9%B3%E5%B2%A1%E5%85%AC%E5%9C%92%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x5f0b2b34d0802a29:0x2c53c617a6248696,,
